dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_ks_statistic,std_ks_statistic
NewThyroid2,pca_contribution,670488,static,0.3892569039013919,0.7633319967923016,0.08699386463788775
BCWDD,relative_entropy,26226,static,0.49010107921318724,0.4575374134981428,0.13179777633066178
NewThyroid2,pca_contribution,670488,self_paced,0.41775186250534047,0.7110064153969526,0.11107118868682375
NewThyroid2,pca_contribution,116740,curriculum,0.43063203685693835,0.713111467522053,0.097991133355393
BCWDD,relative_entropy,26226,self_paced,0.5043434016837021,0.4393107593668603,0.14773647519745392
NewThyroid2,pca_contribution,116740,static,0.4105387718917366,0.7309877038225073,0.09903298381792401
BCWDD,pca_contribution,670488,curriculum,0.4872266146925598,0.485627976511567,0.15880833631097754
NewThyroid2,pca_contribution,116740,self_paced,0.4144214412960988,0.7735231221598503,0.10031203458586001
NewThyroid2,pca_contribution,26226,curriculum,0.38412347335730274,0.7855519914461372,0.09388560994394216
BCWDD,pca_contribution,670488,static,0.4854884839035014,0.47821771496385795,0.13503884940036262
NewThyroid2,pca_contribution,26226,static,0.38898885901261165,0.7542435177759956,0.1113371220105708
BCWDD,pca_contribution,670488,self_paced,0.48022111849359217,0.49847880030208214,0.15971187391470903
NewThyroid2,pca_contribution,26226,self_paced,0.3907016755153178,0.7440189788826518,0.08239486170231157
NewThyroid2,feature_kDN,670488,curriculum,0.4669121163344881,0.6209903769045709,0.0668621683327815
BCWDD,pca_contribution,116740,curriculum,0.4835435697762113,0.48217560840281737,0.15132581167421108
NewThyroid2,feature_kDN,670488,static,0.43817653368337633,0.6748529804865009,0.07084519304669944
BCWDD,pca_contribution,116740,static,0.4708806835909901,0.4733659047824546,0.14412794146545962
NewThyroid2,feature_kDN,670488,self_paced,0.41830759365305764,0.7117415129644479,0.12790542738766833
NewThyroid2,feature_kDN,116740,curriculum,0.43898651197757504,0.6229951884522854,0.0996516884140668
BCWDD,pca_contribution,116740,self_paced,0.48164880285543615,0.47770910716212256,0.14215376488965376
NewThyroid2,feature_kDN,116740,static,0.44006286024937646,0.6699746057203956,0.10282112856122318
Hypothyroid,,116740,static,0.5699913492498261,0.632135450317642,0.15388409229357972
BCWDD,pca_contribution,26226,curriculum,0.5098663106443804,0.5037405791963997,0.13574774999028283
NewThyroid2,feature_kDN,116740,self_paced,0.45152568673192706,0.6627238706228281,0.12040578740431913
NewThyroid2,feature_kDN,26226,curriculum,0.4432553814809237,0.5880446404704625,0.09859525247231798
BCWDD,pca_contribution,26226,static,0.47667474648922054,0.49574156558728794,0.1341321928856445
NewThyroid2,feature_kDN,26226,static,0.41148650895097005,0.6732157177225341,0.11096379878561065
BCWDD,pca_contribution,26226,self_paced,0.4899872354860382,0.453918591927007,0.13918549335942557
NewThyroid2,feature_kDN,26226,self_paced,0.41133425122787426,0.7142141138732959,0.09323212590124831
NewThyroid2,feature_DS,670488,curriculum,0.42541922635923307,0.7538091419406575,0.0983986751254056
BCWDD,feature_kDN,670488,curriculum,0.4783629366156457,0.43085245750042384,0.1130556283352899
NewThyroid2,feature_DS,670488,static,0.41680464019879704,0.7479283614006951,0.09883190004643241
BCWDD,feature_kDN,670488,static,0.446223296587075,0.4314042199035186,0.1115377163810279
NewThyroid2,feature_DS,670488,self_paced,0.42854510519962324,0.6496257685110933,0.09323758039815515
