dataset,hardness_metric,seed,weighting_strategy,overall_similarity,mean_ks_statistic,std_ks_statistic,mean_ks_pvalue
BCWDD,feature_CL,670488,self_paced,0.6767243842505285,0.32327561574947133,0.23866129712350811,0.10716497610898137
NewThyroid2,feature_N1,670488,static,0.8036515707874338,0.19634842921256632,0.22441902095505464,0.2841571851490716
BCWDD,feature_CL,116740,curriculum,0.7172409851991542,0.28275901480084575,0.1904403775359976,0.1103070139618062
NewThyroid2,feature_N1,670488,self_paced,0.7879436964504284,0.21205630354957164,0.19005702587097087,0.2436647054941262
NewThyroid2,feature_N1,116740,curriculum,0.7951856385148919,0.20481436148510812,0.17877404866307342,0.25623796704291796
BCWDD,feature_CL,116740,static,0.7167266700954341,0.283273329904566,0.203186315805322,0.11394791886200333
NewThyroid2,feature_N1,116740,static,0.7957976336189312,0.20420236638106892,0.1965665333445514,0.2649610529593801
Hypothyroid,relative_entropy,116740,static,0.6320615924963221,0.367938407503678,0.3483412544435832,0.10526315789473684
BCWDD,feature_CL,116740,self_paced,0.7203840219441112,0.2796159780558889,0.20911611453144388,0.1081748987280188
NewThyroid2,feature_N1,116740,self_paced,0.7938596491228069,0.20614035087719298,0.19043305018229748,0.20397661851398444
NewThyroid2,feature_N1,26226,curriculum,0.812423500611995,0.18757649938800489,0.1773614769573444,0.2750828791376874
BCWDD,feature_CL,26226,curriculum,0.7492428138750785,0.25075718612492137,0.17342589453198623,0.15694159367208851
NewThyroid2,feature_N1,26226,static,0.8385352917176663,0.16146470828233372,0.1746214114358579,0.2982701073469187
BCWDD,feature_CL,26226,static,0.727870164009372,0.272129835990628,0.18778932384763658,0.1207636891750339
NewThyroid2,feature_N1,26226,self_paced,0.8722970216238268,0.12770297837617295,0.09604662592793133,0.2690547726751594
NewThyroid2,feature_N2,670488,curriculum,0.7464300285597716,0.2535699714402285,0.24557790065894686,0.27052145159112134
BCWDD,feature_CL,26226,self_paced,0.711297788445054,0.28870221155494596,0.17922802497559745,0.11029722950687053
NewThyroid2,feature_N2,670488,static,0.7453080375356997,0.25469196246430026,0.23941370493264966,0.27485707587135566
BCWDD,feature_CLD,670488,curriculum,0.7079833133321904,0.29201668666780956,0.24715451616650946,0.17030411798808157
NewThyroid2,feature_N2,670488,self_paced,0.7691758465932272,0.2308241534067727,0.22245219960507293,0.2649814087211277
NewThyroid2,feature_N2,116740,curriculum,0.7894736842105263,0.21052631578947367,0.2048889170399905,0.22318036129763175
BCWDD,feature_CLD,670488,static,0.7040402308703356,0.29595976912966454,0.20992634178251152,0.1270207972145789
NewThyroid2,feature_N2,116740,static,0.7614239086087311,0.23857609139126884,0.215330641387775,0.18998684499717194
BCWDD,feature_CLD,670488,self_paced,0.6779815989485114,0.32201840105148866,0.2435795408815121,0.10875828664651156
NewThyroid2,feature_N2,116740,self_paced,0.7982456140350876,0.20175438596491227,0.17639177506073167,0.20951381133118305
NewThyroid2,feature_N2,26226,curriculum,0.8463892288861689,0.15361077111383112,0.15228303959577855,0.32089953639158336
BCWDD,feature_CLD,116740,curriculum,0.7282701868678211,0.27172981313217903,0.1715855131713794,0.13307100009831835
NewThyroid2,feature_N2,26226,static,0.8317013463892289,0.16829865361077115,0.16451225751822238,0.2519002458952111
BCWDD,feature_CLD,116740,static,0.7135836333504771,0.28641636664952286,0.18885366120863875,0.11485717831102218
NewThyroid2,feature_N2,26226,self_paced,0.8568951448388413,0.1431048551611587,0.12076918754351205,0.2449748372570119
Hypothyroid,relative_entropy,116740,self_paced,0.618820833987521,0.381179166012479,0.3498175496409065,0.10526315789709977
NewThyroid2,feature_LSC,670488,curriculum,0.7449000407996738,0.2550999592003264,0.2338129232800696,0.23326038141906041
BCWDD,feature_CLD,116740,self_paced,0.7188982227555861,0.281101777244414,0.17525218620587404,0.10812056171121279
NewThyroid2,feature_LSC,670488,static,0.762953896368829,0.23704610363117098,0.22610649415348708,0.23052752142693483
NewThyroid2,feature_LSC,670488,self_paced,0.7974296205630355,0.2025703794369645,0.16821010738937625,0.28130878473516713
