dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
BCWDD,feature_DCP,116740,self_paced,0.7782276643306958,0.23406454032850854,0.2126047200062879,0.0012323269940856974,0.0011015252358963462,0.02145982032222063
Hypothyroid,relative_entropy,670488,static,0.7902908946545324,0.33675638839170574,0.31008058629620877,8.640255986253359e-05,0.0006973297445001223,0.02667580209549697
NewThyroid2,feature_CL,670488,curriculum,0.8691788413725168,0.2665847395040548,0.25435622259897955,0.0,0.0002665672730097131,0.01222851690507526
BCWDD,feature_DCP,26226,curriculum,0.829601291424111,0.23027166246111871,0.227767170078925,0.0036947827007027573,0.0014397532408104523,0.002504492382193718
NewThyroid2,feature_CL,670488,static,0.8752471854247426,0.2665847395040548,0.257227954270192,0.0,0.0006771119580836048,0.009356785233862797
NewThyroid2,feature_CL,670488,self_paced,0.8803159816365193,0.2665847395040548,0.2576120689408021,0.0,0.0021951332859669256,0.008972670563252738
BCWDD,feature_DCP,26226,static,0.8413515900138844,0.23027166246111871,0.22667390941098478,0.0036947827007027573,0.0015745363706343475,0.003597753050133934
NewThyroid2,feature_CL,116740,curriculum,0.9011215566258961,0.2695586592990631,0.26728693826086297,3.204937810639273e-17,0.001411616661034395,0.002271721038200114
BCWDD,feature_DCP,26226,self_paced,0.7481490997689203,0.23027166246111871,0.20151042353257584,0.003694782700702773,0.0012883171142575923,0.028761238928542876
NewThyroid2,feature_CL,116740,static,0.8815188419077683,0.2695586592990631,0.25879335689561495,0.0,0.006230114997014416,0.01076530240344814
NewThyroid2,feature_CL,116740,self_paced,0.8124607139052895,0.2695586592990631,0.26742930147899524,0.0,0.0023617766880300564,0.0021293578200678454
BCWDD,feature_TD_P,670488,curriculum,0.7190365233007151,0.22541749030518263,0.2388544012314093,0.0018249600297177721,0.002515467315147663,0.013436910926226675
