dataset,hardness_metric,seed,weighting_strategy,bottleneck_H0_mean,bottleneck_H0_std,bottleneck_H1_mean,bottleneck_H1_std,wasserstein_H0_mean,wasserstein_H0_std,wasserstein_H1_mean,wasserstein_H1_std
NewThyroid2,pca_contribution,670488,curriculum,1.4341632922490437,0.20014536838050637,0.17769394318262735,0.07117045284596754,10.245673174763617,0.5594540600533039,0.4453781797788097,0.096158268124456
BCWDD,relative_entropy,26226,curriculum,1.2043512264887493,0.061865209214536164,0.547359029452006,0.07099807805375644,51.24527128647933,5.759214669540209,8.559381405897973,2.3442290770069287
NewThyroid2,pca_contribution,670488,static,0.9744039376576742,0.1880144394276402,0.19066470861434937,0.05575353708415106,12.231748844805571,0.5107791917708653,0.5747407232938446,0.02234618606719081
BCWDD,relative_entropy,26226,static,1.4418068329493205,0.07764011453686825,0.44220878680547077,0.07827831034377875,58.36043429649552,7.876911585717663,7.67978145627031,2.3004185988827874
NewThyroid2,pca_contribution,670488,self_paced,1.3529366652170818,0.29970525996262815,0.19608132044474283,0.052345491307956106,11.404959066314598,0.561254030649613,0.5560859477456963,0.06815141247944939
NewThyroid2,pca_contribution,116740,curriculum,1.27961266040802,0.1976794031607291,0.14986403783162436,0.048102507282372434,12.104523498572831,1.573942341999514,0.414965739170367,0.21496869156783277
BCWDD,relative_entropy,26226,self_paced,1.3661367098490398,0.12130960816822112,0.505223790804545,0.062404857744420825,52.084043096902576,3.324536007993759,7.22456529694328,1.639903077808544
NewThyroid2,pca_contribution,116740,static,1.1763569116592407,0.2305628174922994,0.15878236293792725,0.03549009096338641,12.682508562319695,0.9910566618660412,0.4184158819455874,0.163558806331672
BCWDD,pca_contribution,670488,curriculum,1.2711879412333171,0.19413397029540697,0.4309229254722595,0.06687395336899862,58.84620227195111,12.411603061290235,6.781235121105031,2.3270764569946256
NewThyroid2,pca_contribution,116740,self_paced,1.1710395812988281,0.2230429767809857,0.13885809977849325,0.06366725414374859,12.931601794201647,1.0573558565550596,0.3788967226080722,0.19252446155886266
NewThyroid2,pca_contribution,26226,curriculum,1.26787265141805,0.09944088100601728,0.12354809045791626,0.0897026707448725,9.422578495974172,0.5819797450153735,0.2313715417582389,0.14841783636973407
BCWDD,pca_contribution,670488,static,1.2871225277582805,0.2554572201892696,0.3855079213778178,0.04931293887439402,65.82599884825457,15.341416368920044,6.802151718477911,1.3458675150231079
NewThyroid2,pca_contribution,26226,static,1.1975573301315308,0.0,0.1769003470738729,0.039347984689591546,12.980730654258101,0.7997493667625466,0.8077240193691161,0.19092363242709182
BCWDD,pca_contribution,670488,self_paced,1.4160188436508179,0.16181254102654097,0.44668354590733844,0.055661913801151965,85.01481758639487,3.3024994322638204,9.470392345762724,1.0475254812201875
NewThyroid2,pca_contribution,26226,self_paced,1.1975573301315308,0.0,0.14949768781661987,0.07512858435283727,11.414404089573255,2.0859108423869737,0.5758623141529924,0.3505441977183771
NewThyroid2,feature_kDN,670488,curriculum,1.3529366652170818,0.29970525996262815,0.20394599437713623,0.04913295268150156,11.507736437055476,0.8725636774535687,0.6161850426700379,0.034278706932975835
BCWDD,pca_contribution,116740,curriculum,1.4116812944412231,0.2175301401678172,0.4469217360019684,0.07148276159855295,70.50767157269077,5.223628751289622,7.858935290006211,1.1806334205161684
NewThyroid2,feature_kDN,670488,static,1.4341632922490437,0.20014536838050637,0.17769394318262735,0.07117045284596754,9.771854042102605,0.44049866470036464,0.4405324670434591,0.07375061271747269
BCWDD,pca_contribution,116740,static,1.4431642293930054,0.09641976296659863,0.6317233840624491,0.15713886810992367,65.27483603026296,12.077555452256068,7.2430941283092904,1.8674755421817277
NewThyroid2,feature_kDN,670488,self_paced,1.2898236910502117,0.30345804315490277,0.19066470861434937,0.05575353708415106,10.865638640904281,0.8379941923994816,0.5401399194192664,0.027264281537102565
NewThyroid2,feature_kDN,116740,curriculum,1.1763569116592407,0.2305628174922994,0.15878236293792725,0.03549009096338641,12.61036100256428,1.379549409463474,0.44149754031230576,0.15579910031697292
BCWDD,pca_contribution,116740,self_paced,1.3922050793965657,0.18233990382223217,0.7356541156768799,0.24500255841578233,67.03582625674225,7.958823509204073,8.592312437996654,1.637916521999216
NewThyroid2,feature_kDN,116740,static,1.0418511033058167,0.3519623116590202,0.19748139381408691,0.019238603352373755,12.886446029033374,1.7405581639457155,0.556300148566541,0.05548720851436826
Hypothyroid,,116740,static,1.6724913120269775,0.0,0.32365695635477704,0.06992948909129523,41.06969053640271,3.819345549879114,4.544380658296702,0.5084591683221268
BCWDD,pca_contribution,26226,curriculum,1.3922147750854492,0.12718289574166092,0.46498531103134155,0.08061926038626023,46.77883737798495,5.193613882544068,7.704907990033917,2.2364590159091144
NewThyroid2,feature_kDN,116740,self_paced,1.1149239937464397,0.36694742218271115,0.10190929969151814,0.014455124699497567,8.15053263825947,0.160573753829277,0.2243586819754256,0.08018550354759574
NewThyroid2,feature_kDN,26226,curriculum,1.26787265141805,0.09944088100601728,0.10299589236577351,0.038337771416371784,10.722254968716918,1.8136908518316543,0.5206633532040816,0.33836561820209915
BCWDD,pca_contribution,26226,static,1.2874384721120198,0.07152270763935444,0.46319313844045,0.03373527681092402,57.96182683667764,2.695269995151476,5.0663697360650435,0.1052703346023306
NewThyroid2,feature_kDN,26226,static,1.3081064621607463,0.08641701922135293,0.1187941109140714,0.09268758395853781,10.982187738127786,2.80738222158718,0.5144950688502217,0.41563099293767636
BCWDD,pca_contribution,26226,self_paced,1.3590479294459026,0.06045529977490412,0.511499842007955,0.04490743719045142,75.37255978967254,11.578639665835867,8.718267388488673,2.172433597876063
NewThyroid2,feature_kDN,26226,self_paced,1.26787265141805,0.09944088100601728,0.07984292507171631,0.06465316465532062,9.575832604412662,1.0801622997370788,0.2708760216996416,0.2075611375907889
NewThyroid2,feature_DS,670488,curriculum,1.127736250559489,0.11480658181855119,0.15742852290471396,0.008750472492033805,12.094096159630359,0.0372304669574768,0.6045931104328596,0.045093718426894344
BCWDD,feature_kDN,670488,curriculum,1.4729505777359009,0.1401343212467991,0.4422279993693034,0.007756919442312332,81.36117047661078,13.138213788005116,5.692561632045508,1.121873791728073
NewThyroid2,feature_DS,670488,static,1.1908492247263591,0.17713455623241198,0.19608132044474283,0.052345491307956106,11.00519352006828,0.6533900950764316,0.5632603458621399,0.05372075988542656
BCWDD,feature_kDN,670488,static,1.5034510294596355,0.11991347880548148,0.444957693417867,0.02955091962782995,68.20127531359428,7.132800213007586,4.296732751532176,1.0279035246220407
NewThyroid2,feature_DS,670488,self_paced,1.208962877591451,0.00013054283878774245,0.15742852290471396,0.008750472492033805,11.276119337889947,1.090338463887994,0.637696599220824,0.057530893773284915
NewThyroid2,feature_DS,116740,curriculum,1.1763569116592407,0.2305628174922994,0.15878236293792725,0.03549009096338641,11.905840909356456,1.3183468508766472,0.4198521359073613,0.11753689812449974
BCWDD,feature_kDN,670488,self_paced,1.2946403821309407,0.07808724517769787,0.46711520353953045,0.04155587028367258,54.07508931483759,12.707029221159384,5.834805159076249,2.080056318224211
NewThyroid2,feature_DS,116740,static,1.045996864636739,0.3600729836249933,0.14729082584381104,0.05472869431576016,10.02314578187176,1.096476100075117,0.3020538157107874,0.14742662250664798
BCWDD,feature_kDN,116740,curriculum,1.6726897954940796,0.15502542720056525,0.5008778969446818,0.018451158403864805,87.6920258493218,4.084516860373712,6.903153229038112,0.7031514116506061
NewThyroid2,feature_DS,116740,self_paced,1.2849299907684326,0.20330654660611536,0.1247687538464864,0.043199946810404524,11.563638562017195,1.3835546240108287,0.2633968210870045,0.13323278898112728
