dataset,seed,model,hardness_metric,strategy,v_dist,v_comp,v_hard,v_topo,MFI
Hepatitis,26226,HardTVAE_F1_static,F1,static,0.3696581196581197,0.8464342406064357,0.4318469323213156,0.8115005124595793,0.5380285717364671
Hepatitis,26226,HardTVAE_F1_self_paced,F1,self_paced,0.3538573999100315,0.8447143583116183,0.4304237824161923,0.9094654753519807,0.5381647663073017
Hepatitis,26226,HardTVAE_F2_curriculum,F2,curriculum,0.3626293297345928,0.8200182545365305,0.4097090449082858,0.8720707588178424,0.5287805821075675
Hepatitis,26226,HardTVAE_F2_static,F2,static,0.3542510121457489,0.8281496882261675,0.4154016445287792,0.7721529258245217,0.5172799115924653
Hepatitis,26226,HardTVAE_F2_self_paced,F2,self_paced,0.362910481331534,0.8234343619729491,0.4361163820366857,0.8583961034117864,0.5385134295545561
Hepatitis,26226,HardTVAE_F3_curriculum,F3,curriculum,0.3617296446243814,0.8435594686510636,0.4177735610373181,0.8199886585254543,0.5288823517476069
Hepatitis,26226,HardTVAE_F3_static,F3,static,0.3600989653621232,0.8258535219672948,0.4345351043643264,0.7857436087966089,0.5289694995044808
Hepatitis,26226,HardTVAE_F3_self_paced,F3,self_paced,0.3553756185335132,0.8292987889213137,0.4340607210626186,0.8578139526625681,0.5340923753512139
Hepatitis,26226,HardTVAE_F4_curriculum,F4,curriculum,0.3544197031039136,0.8332723037122541,0.435325743200506,0.8493304540404337,0.5336086837209216
Hepatitis,26226,HardTVAE_F4_static,F4,static,0.3651034637876743,0.8348354711824147,0.4278937381404175,0.7744779628957495,0.5287500154384942
Hepatitis,26226,HardTVAE_F4_self_paced,F4,self_paced,0.3646536212325686,0.8176641920627836,0.4282099936748893,0.8625590492137662,0.5361953201431345
Hepatitis,777573,CTGAN,,,0.678306342780027,0.864464281499427,0.2267025089605735,0.8985473105351602,0.4904953902570064
Hepatitis,777573,TVAE,,static,0.3540260908681961,0.8098111853174565,0.4284647550776582,0.8854925768775541,0.5317214711993139
Hepatitis,777573,HardTVAE_kDN_curriculum,kDN,curriculum,0.3482343679712101,0.8320794203553202,0.4160692951015531,0.7847954195144584,0.5160557295873102
