model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid1,Specificity,TVAE,0.16363636363636364,0.3659020326817838,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid2,F1 Score,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid2,Precision,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid2,Recall,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid2,Specificity,TVAE,0.0,0.0,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,Pima,F1 Score,TVAE,0.04240971295853373,0.08288046659165237,5,0.8
HardTVAE_CLD_curriculum,CLD,curriculum,Pima,Precision,TVAE,0.06505964105496079,0.1209838122728962,5,1.0
HardTVAE_CLD_curriculum,CLD,curriculum,Pima,Recall,TVAE,0.023376623376623384,0.023231875090906913,5,1.0
HardTVAE_CLD_curriculum,CLD,curriculum,Pima,Specificity,TVAE,0.03988263588263584,0.12214991549098456,5,0.8
HardTVAE_CLD_curriculum,CLD,curriculum,Thoracic,F1 Score,TVAE,-0.015172323941605415,0.012492944647641472,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,Thoracic,Precision,TVAE,-0.003957380405507571,0.003290439649938519,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,Thoracic,Recall,TVAE,-0.029787234042553214,0.024259051597853996,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,Thoracic,Specificity,TVAE,-0.005212765957446774,0.004245334029624444,5,0.0
HardTVAE_CLD_curriculum,CLD,curriculum,Vertebral,F1 Score,TVAE,0.06104441737423283,0.17070182162729364,5,0.6
HardTVAE_CLD_curriculum,CLD,curriculum,Vertebral,Precision,TVAE,0.09286409157557875,0.19927480281960766,5,0.8
HardTVAE_CLD_curriculum,CLD,curriculum,Vertebral,Recall,TVAE,0.04516129032258065,0.10601081758164502,5,0.6
HardTVAE_CLD_curriculum,CLD,curriculum,Vertebral,Specificity,TVAE,0.06341013824884786,0.27667150621673364,5,0.6
HardTVAE_CLD_self_paced,CLD,self_paced,BCWDD,F1 Score,TVAE,0.007714229168735742,0.015313081404775159,10,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,BCWDD,Precision,TVAE,0.004965534495586732,0.014110300288433587,10,0.3
HardTVAE_CLD_self_paced,CLD,self_paced,BCWDD,Recall,TVAE,0.007017543859649122,0.01479428145108012,10,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,BCWDD,Specificity,TVAE,0.01599832915622389,0.025484780178917588,10,0.4
HardTVAE_CLD_self_paced,CLD,self_paced,HeartCleveland,F1 Score,TVAE,-0.0005912826273613781,0.02686904435095947,10,0.3
HardTVAE_CLD_self_paced,CLD,self_paced,HeartCleveland,Precision,TVAE,0.002483670121615833,0.02734858232642661,10,0.3
